OSM ID	Access Score
4636201	0.11920292202211755
4636259	0.9890130573694068
4708342	0.9706877692486436
4708348	0.9997965730219448
4714349	0.22270013882530884
4725116	0.0024726231566347743
4729721	0.9525741268224334
4748876	0.8175744761936437
4748876	0.14804719803168948
4748876	0.8175744761936437
4794319	0.6224593312018546
4794319	0.8519528019683106
4794322	0.8175744761936437
4794323	0.5
4794323	0.8175744761936437
4794334	0.004070137715896128
4794335	0.01098694263059318
4794346	0.9241418199787566
4798497	0.3775406687981454
4798501	0.0015011822567369917
4798505	0.01098694263059318
4798548	0.5
4842985	5.905303995456778E-10
4842985	0.0011695102650555148
4842986	0.9890130573694068
4842987	0.999998629042793
4842987	0.9995694429186754
4842987	0.9999869928715335
4848663	0.9890130573694068
4864595	0.2689414213699951
4864595	0.07585818002124355
4864606	0.43782349911420193
4869277	0.9859363729567544
4869344	0.9525741268224334
4869363	0.09534946489910949
4869367	0.9241418199787566
4869372	0.9525741268224334
4869372	0.9525741268224334
4869373	0.02931223075135632
4869375	0.005220125693558397
4869375	5.527786369235996E-4
4910384	0.2689414213699951
4910385	0.8519528019683106
4910392	0.6224593312018546
4910393	0.6224593312018546
4910393	0.8175744761936437
4910394	0.9999785550515792
4910397	0.9999038975845005
4910398	0.9995694429186754
4910399	0.9995694429186754
4910399	0.9999251537724895
4910402	0.9999251537724895
4910402	0.9525741268224334
4910403	0.9997388096809043
4910403	0.9525741268224334
4910403	0.9999938558253978
4910405	0.9706877692486436
4910405	0.9890130573694068
4910408	0.18242552380635635
4910409	0.03732688734412946
4910409	0.11920292202211755
4910410	0.8175744761936437
4910411	0.8175744761936437
4910412	0.9706877692486436
4910413	0.6224593312018546
4910413	0.6224593312018546
4910414	0.7772998611746911
4910415	0.7772998611746911
4910416	0.43782349911420193
4910416	0.43782349911420193
4910417	0.9706877692486436
4910424	0.8807970779778823
4910424	0.8807970779778823
4910424	0.7772998611746911
4910430	0.8175744761936437
4910430	0.9046505351008906
4910440	0.9890130573694068
4910447	0.9525741268224334
4910447	0.9525741268224334
4910540	9.110511944006454E-4
4910552	0.7310585786300049
4910554	0.9933071490757153
4910555	0.991422514586288
4910560	0.9525741268224334
4910560	0.9046505351008906
4910574	0.7310585786300049
